PSP_Code,Hierarchieebene,Vorgangsname,Subtitel,Nr,Einmalige_Nr,Dauer,Gliederungsebene,Vorgänger,Anfangstermin,Endtermin,Meilenstein,Sammelvorgang,Personen,Geschoss,Text3,Gewerk,Text5,Text6,Material;;;;;;;;;;;;;
1,Subtitel 0,Terminprogramm Ausführung,,1,901,1159 ?,1,,2021-12-13 08:00,2026-09-01 17:00,Nein,Ja,,,,,,,;;;;;;;;;;;;;
1.1,Subtitel 1,Bauvorbereitungen,Terminprogramm Ausführung,2,20448,309,2,,2021-12-13 08:00,2023-03-07 17:00,Nein,Ja,,,,,,,;;;;;;;;;;;;;
1.1.1,Subtitel 2,Baustelleneinrichtung & Bauwerksüberwachung,Terminprogramm Ausführung - Bauvorbereitungen,3,17998,18,3,,2021-12-13 08:00,2022-01-14 17:00,Nein,Ja,,,,,,,;;;;;;;;;;;;;
1.1.1.1,Vorgang,Kanalaufnahmen,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung,4,18000,1,4,12AA,2021-12-13 08:00,2021-12-13 17:00,Nein,Nein,,,,101.2 Kanalaufnahmen,,,;;;;;;;;;;;;;
1.1.1.2,Vorgang,Baustellenwebcam,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung,5,18018,1,4,4,2021-12-14 08:00,2021-12-14 17:00,Nein,Nein,,,,101 Bestandesaufnahmen,,,;;;;;;;;;;;;;
1.1.1.3,Subtitel 3,Piezometer,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung,6,17999,17,4,,2021-12-14 08:00,2022-01-14 17:00,Nein,Ja,,,,,,,;;;;;;;;;;;;;
1.1.1.3.1,Vorgang,Piezometer: Spülen der alten Piezometerleitungen,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung - Piezometer,7,18008,1,5,5EA+3t,2021-12-20 08:00,2021-12-20 17:00,Nein,Nein,,,,101.1 Grundwasserüberwachung,,,;;;;;;;;;;;;;
1.1.1.3.2,Vorgang,Piezometer: Abstecken,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung - Piezometer,8,18002,1,5,7EA-5t,2021-12-14 08:00,2021-12-14 17:00,Nein,Nein,,,,101 Bestandesaufnahmen,,,;;;;;;;;;;;;;
1.1.1.3.3,Vorgang,Piezometer: Bohrungen & Spülung der neuen Leitungen,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung - Piezometer,9,18010,8,5,8EA+3t,2021-12-20 08:00,2022-01-07 17:00,Nein,Nein,,,,101.1 Grundwasserüberwachung,,,;;;;;;;;;;;;;
1.1.1.3.4,Vorgang,Piezometer: Abdeckklappe,Terminprogramm Ausführung - Bauvorbereitungen - Baustelleneinrichtung & Bauwerksüberwachung - Piezometer,10,18012,1,5,9EA+4t,2022-01-14 08:00,2022-01-14 17:00,Nein,Nein,,,,201 Tiefbau,,,;;;;;;;;;;;;;
